
Yield must in theory move slowly from 0 to 1; claclulated values jump in inconsistent steps and never reach 1

📊 Yield Estimation Results:
✅ 0: [Yield=0.000, True=0.000, Index=0]
✅ 100: [Yield=0.627, True=0.627, Index=69]
✅ 101: [Yield=0.627, True=0.627, Index=69]
✅ 102: [Yield=0.627, True=0.627, Index=69]
✅ 103: [Yield=0.627, True=0.627, Index=69]
✅ 104: [Yield=0.627, True=0.627, Index=69]
✅ 105: [Yield=0.636, True=0.636, Index=70]
✅ 106: [Yield=0.636, True=0.636, Index=70]
✅ 107: [Yield=0.636, True=0.636, Index=70]
✅ 108: [Yield=0.636, True=0.636, Index=70]
✅ 109: [Yield=0.636, True=0.636, Index=70]
✅ 110: [Yield=0.636, True=0.636, Index=70]
